factor	target_trait	anchor_factor	internal_trait	external_trait	study_accession	validation_priority	pair_set	expected_alignment
nonlipid8_F1	ext_GCST90301948	nonlipid8_F1	bOHbutyrate	3-Hydroxybutyrate levels	GCST90301948	primary_bivariate_candidate_caution	primary_match	primary
nonlipid8_F2	ext_GCST90301948	nonlipid8_F1	bOHbutyrate	3-Hydroxybutyrate levels	GCST90301948	primary_bivariate_candidate_caution	cross_factor	nonprimary
nonlipid8_F3	ext_GCST90301948	nonlipid8_F1	bOHbutyrate	3-Hydroxybutyrate levels	GCST90301948	primary_bivariate_candidate_caution	cross_factor	nonprimary
nonlipid8_F1	ext_GCST90301994	nonlipid8_F2	Leu	Leucine levels	GCST90301994	primary_bivariate_candidate	cross_factor	nonprimary
nonlipid8_F2	ext_GCST90301994	nonlipid8_F2	Leu	Leucine levels	GCST90301994	primary_bivariate_candidate	primary_match	primary
nonlipid8_F3	ext_GCST90301994	nonlipid8_F2	Leu	Leucine levels	GCST90301994	primary_bivariate_candidate	cross_factor	nonprimary
nonlipid8_F1	ext_GCST90302070	nonlipid8_F2	Phe	Phenylalanine levels	GCST90302070	primary_bivariate_candidate	cross_factor	nonprimary
nonlipid8_F2	ext_GCST90302070	nonlipid8_F2	Phe	Phenylalanine levels	GCST90302070	primary_bivariate_candidate	primary_match	primary
nonlipid8_F3	ext_GCST90302070	nonlipid8_F2	Phe	Phenylalanine levels	GCST90302070	primary_bivariate_candidate	cross_factor	nonprimary
nonlipid8_F1	ext_GCST90302122	nonlipid8_F2	Val	Valine levels	GCST90302122	primary_bivariate_candidate	cross_factor	nonprimary
nonlipid8_F2	ext_GCST90302122	nonlipid8_F2	Val	Valine levels	GCST90302122	primary_bivariate_candidate	primary_match	primary
nonlipid8_F3	ext_GCST90302122	nonlipid8_F2	Val	Valine levels	GCST90302122	primary_bivariate_candidate	cross_factor	nonprimary
nonlipid8_F1	ext_GCST90301964	nonlipid8_F3	Glucose	Glucose levels	GCST90301964	primary_bivariate_candidate	cross_factor	nonprimary
nonlipid8_F2	ext_GCST90301964	nonlipid8_F3	Glucose	Glucose levels	GCST90301964	primary_bivariate_candidate	cross_factor	nonprimary
nonlipid8_F3	ext_GCST90301964	nonlipid8_F3	Glucose	Glucose levels	GCST90301964	primary_bivariate_candidate	primary_match	primary
