study_accession	external_trait	source_url	local_raw_file	munged_sumstats_file	raw_file_exists	dataset	dataset_note
GCST90301941	Acetate levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301941/GCST90301941.tsv	D:/metabolic/GCST90301941.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301941.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301942	Acetone levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301942/GCST90301942.tsv	D:/metabolic/GCST90301942.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301942.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301943	Alanine levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301943/GCST90301943.tsv	D:/metabolic/GCST90301943.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301943.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301944	Albumin levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301944/GCST90301944.tsv	D:/metabolic/GCST90301944.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301944.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301945	Apolipoprotein A-I levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301945/GCST90301945.tsv	D:/metabolic/GCST90301945.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301945.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301946	Apolipoprotein B levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301946/GCST90301946.tsv	D:/metabolic/GCST90301946.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301946.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301947	Ratio of apolipoprotein B to apolipoprotein A1 levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301947/GCST90301947.tsv	D:/metabolic/GCST90301947.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301947.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301948	3-Hydroxybutyrate levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301948/GCST90301948.tsv	D:/metabolic/GCST90301948.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301948.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301949	Citrate levels	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301949/GCST90301949.tsv	D:/metabolic/GCST90301949.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301949.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
GCST90301950	Conjugated linoleic acid	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90301001-GCST90302000/GCST90301950/GCST90301950.tsv	D:/metabolic/GCST90301950.tsv	D:/metabolic/external_support_karjalainen233/sumstats/GCST90301950.sumstats.gz	True	karjalainen_nature_2024_233_metabolites	Public GWAS Catalog summary statistics from Karjalainen et al. Nature 2024; trait-specific files are predominantly multi-ancestry meta-analysis rather than European-only releases.
