factor	trait	pair_set	expected_alignment	internal_trait	internal_biomarker_name	external_trait	study_accession	match_quality	dataset	rationale
lipid8_F1	ext_M_HDL_TG_GCST90302041	external_primary_exact	primary	M_HDL_TG	Triglycerides in medium HDL	Triglycerides in medium HDL	GCST90302041	exact	karjalainen_nature_2024_233_metabolites	Direct matched external trait for medium-HDL triglycerides.
lipid8_F1	ext_VLDL_size_GCST90302124	external_primary_exact	primary	VLDL_size	Average diameter for VLDL particles	Mean diameter of VLDL particles	GCST90302124	exact_terminology_variant	karjalainen_nature_2024_233_metabolites	Same VLDL particle-size construct with wording differences only.
lipid8_F1	ext_MUFA_GCST90302055	external_primary_exact	primary	MUFA	Monounsaturated fatty acids	Monounsaturated fatty acids (16:1, 18:1) levels	GCST90302055	exact_platform_variant	karjalainen_nature_2024_233_metabolites	Direct MUFA trait on the same Nightingale biomarker platform.
lipid8_F1	ext_S_VLDL_TG_GCST90302114	external_primary_exact	primary	S_VLDL_TG	Triglycerides in small VLDL	Triglycerides in small VLDL	GCST90302114	exact	karjalainen_nature_2024_233_metabolites	Direct matched external trait for small-VLDL triglycerides.
lipid8_F2	ext_ApoA1_GCST90301945	external_primary_exact	primary	ApoA1	Apolipoprotein A1	Apolipoprotein A-I levels	GCST90301945	exact_terminology_variant	karjalainen_nature_2024_233_metabolites	Direct matched ApoA1 biomarker with naming normalization only.
lipid8_F2	ext_HDL_CE_GCST90301997	external_same_domain_support	same_domain_support	HDL_CE	Cholesteryl esters in HDL	Cholesterol esters in large HDL	GCST90301997	approximate_size_specific	karjalainen_nature_2024_233_metabolites	Overall HDL-CE trait is unavailable; large-HDL CE used as size-specific support.
lipid8_F2	ext_HDL_CE_GCST90302033	external_same_domain_support	same_domain_support	HDL_CE	Cholesteryl esters in HDL	Cholesterol esters in medium HDL	GCST90302033	approximate_size_specific	karjalainen_nature_2024_233_metabolites	Overall HDL-CE trait is unavailable; medium-HDL CE used as size-specific support.
lipid8_F2	ext_HDL_CE_GCST90302081	external_same_domain_support	same_domain_support	HDL_CE	Cholesteryl esters in HDL	Cholesterol esters in small HDL	GCST90302081	approximate_size_specific	karjalainen_nature_2024_233_metabolites	Overall HDL-CE trait is unavailable; small-HDL CE used as size-specific support.
lipid8_F2	ext_HDL_CE_GCST90302128	external_same_domain_support	same_domain_support	HDL_CE	Cholesteryl esters in HDL	Cholesterol esters in very large HDL	GCST90302128	approximate_size_specific	karjalainen_nature_2024_233_metabolites	Overall HDL-CE trait is unavailable; very-large-HDL CE used as size-specific support.
lipid8_F3	ext_XS_VLDL_FC_GCST90302154	external_primary_exact	primary	XS_VLDL_FC	Free cholesterol in very small VLDL	Free cholesterol in very small VLDL	GCST90302154	exact	karjalainen_nature_2024_233_metabolites	Direct matched external trait for very-small-VLDL free cholesterol.
lipid8_F3	ext_VLDL_CE_GCST90302021	external_same_domain_support	same_domain_support	VLDL_CE	Cholesteryl esters in VLDL	Cholesterol esters in large VLDL	GCST90302021	approximate_size_specific	karjalainen_nature_2024_233_metabolites	Overall VLDL-CE trait is unavailable; large-VLDL CE used as size-specific support.
lipid8_F3	ext_VLDL_CE_GCST90302059	external_same_domain_support	same_domain_support	VLDL_CE	Cholesteryl esters in VLDL	Cholesterol esters in medium VLDL	GCST90302059	approximate_size_specific	karjalainen_nature_2024_233_metabolites	Overall VLDL-CE trait is unavailable; medium-VLDL CE used as size-specific support.
lipid8_F3	ext_VLDL_CE_GCST90302106	external_same_domain_support	same_domain_support	VLDL_CE	Cholesteryl esters in VLDL	Cholesterol esters in small VLDL	GCST90302106	approximate_size_specific	karjalainen_nature_2024_233_metabolites	Overall VLDL-CE trait is unavailable; small-VLDL CE used as size-specific support.
lipid8_F3	ext_VLDL_CE_GCST90302140	external_same_domain_support	same_domain_support	VLDL_CE	Cholesteryl esters in VLDL	Cholesterol esters in very large VLDL	GCST90302140	approximate_size_specific	karjalainen_nature_2024_233_metabolites	Overall VLDL-CE trait is unavailable; very-large-VLDL CE used as size-specific support.
lipid8_F3	ext_VLDL_CE_GCST90302152	external_same_domain_support	same_domain_support	VLDL_CE	Cholesteryl esters in VLDL	Cholesterol esters in very small VLDL	GCST90302152	approximate_size_specific	karjalainen_nature_2024_233_metabolites	Overall VLDL-CE trait is unavailable; very-small-VLDL CE used as size-specific support.
