study_accession	trait_code	biomarker_name	group	sumstats_file
GCST90451109	Ala	Alanine	Amino acids	D:/metabolic/GWAS/sumstats/GCST90451109.sumstats.gz
GCST90451121	Gln	Glutamine	Amino acids	D:/metabolic/GWAS/sumstats/GCST90451121.sumstats.gz
GCST90451133	His	Histidine	Amino acids	D:/metabolic/GWAS/sumstats/GCST90451133.sumstats.gz
GCST90451146	Ile	Isoleucine	Amino acids	D:/metabolic/GWAS/sumstats/GCST90451146.sumstats.gz
GCST90451158	Leu	Leucine	Amino acids	D:/metabolic/GWAS/sumstats/GCST90451158.sumstats.gz
GCST90451239	Phe	Phenylalanine	Amino acids	D:/metabolic/GWAS/sumstats/GCST90451239.sumstats.gz
GCST90451296	Tyr	Tyrosine	Amino acids	D:/metabolic/GWAS/sumstats/GCST90451296.sumstats.gz
GCST90451298	Val	Valine	Amino acids	D:/metabolic/GWAS/sumstats/GCST90451298.sumstats.gz
GCST90451111	ApoA1	Apolipoprotein A1	Apolipoproteins	D:/metabolic/GWAS/sumstats/GCST90451111.sumstats.gz
GCST90451126	HDL_C	HDL cholesterol	Cholesterol	D:/metabolic/GWAS/sumstats/GCST90451126.sumstats.gz
GCST90451300	VLDL_C	VLDL cholesterol	Cholesterol	D:/metabolic/GWAS/sumstats/GCST90451300.sumstats.gz
GCST90451125	HDL_CE	Cholesteryl esters in HDL	Cholesteryl esters	D:/metabolic/GWAS/sumstats/GCST90451125.sumstats.gz
GCST90451288	Total_CE	Total esterified cholesterol	Cholesteryl esters	D:/metabolic/GWAS/sumstats/GCST90451288.sumstats.gz
GCST90451299	VLDL_CE	Cholesteryl esters in VLDL	Cholesteryl esters	D:/metabolic/GWAS/sumstats/GCST90451299.sumstats.gz
GCST90451120	DHA	Docosahexaenoic acid	Fatty acids	D:/metabolic/GWAS/sumstats/GCST90451120.sumstats.gz
GCST90451149	LA	Linoleic acid	Fatty acids	D:/metabolic/GWAS/sumstats/GCST90451149.sumstats.gz
GCST90451220	MUFA	Monounsaturated fatty acids	Fatty acids	D:/metabolic/GWAS/sumstats/GCST90451220.sumstats.gz
GCST90451235	Omega_3	Omega-3 fatty acids	Fatty acids	D:/metabolic/GWAS/sumstats/GCST90451235.sumstats.gz
GCST90451238	Omega_6	Omega-6 fatty acids	Fatty acids	D:/metabolic/GWAS/sumstats/GCST90451238.sumstats.gz
GCST90451244	PUFA	Polyunsaturated fatty acids	Fatty acids	D:/metabolic/GWAS/sumstats/GCST90451244.sumstats.gz
GCST90451248	SFA	Saturated fatty acids	Fatty acids	D:/metabolic/GWAS/sumstats/GCST90451248.sumstats.gz
