trait_code	h2	intercept	max_abs_rg_with_any_trait	selected_for_efa	study_accession	biomarker_name	group	Z	h2_obs	h2_obs_se	n_independent_leads	reported_trait	ftp_path
Ala	0.0867669875358752	1.09735972801938	0.469174615244575	True	GCST90451109	Alanine	Amino acids	8.63963963963964	0.0959	0.0111	268	Alanine	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451109/GCST90451109.tsv.gz
Gln	0.101222826552266	1.0747680509461	0.412761532469427	True	GCST90451121	Glutamine	Amino acids	7.707482993197279	0.1133	0.0147	315	Glutamine	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451121/GCST90451121.tsv.gz
His	0.0321917241651027	1.10915062626427	0.279269962986735	True	GCST90451133	Histidine	Amino acids	7.229166666666668	0.0347	0.0048	110	Histidine	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451133/GCST90451133.tsv.gz
Ile	0.041565828305566	1.04652551277138	0.963634073287199	True	GCST90451146	Isoleucine	Amino acids	11.86486486486486	0.0439	0.0037	89	Isoleucine	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451146/GCST90451146.tsv.gz
Leu	0.0537927982710868	1.04162921179233	0.939260550100329	True	GCST90451158	Leucine	Amino acids	10.23214285714286	0.0573	0.0056	124	Leucine	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451158/GCST90451158.tsv.gz
Phe	0.0283684934198335	1.05020822787087	0.520954555727915	True	GCST90451239	Phenylalanine	Amino acids	5.576271186440678	0.0329	0.0059	55	Phenylalanine	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451239/GCST90451239.tsv.gz
Tyr	0.0730883654615243	1.03611686505829	0.333408581139191	True	GCST90451296	Tyrosine	Amino acids	5.152941176470588	0.0876	0.017	186	Tyrosine	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451296/GCST90451296.tsv.gz
Val	0.072135648268858	1.10568523558258	0.57735390408066	True	GCST90451298	Valine	Amino acids	12.86440677966102	0.0759	0.0059	202	Valine	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451298/GCST90451298.tsv.gz
ApoA1	0.126236576358769	1.3478847595004	0.994897707915133	True	GCST90451111	Apolipoprotein A1	Apolipoproteins	8.859756097560975	0.1453	0.0164	401	Apolipoprotein A1	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451111/GCST90451111.tsv.gz
HDL_C	0.163928383357316	1.41971086789533	0.993775174068825	False	GCST90451126	HDL cholesterol	Cholesterol	10.95375722543353	0.1895	0.0173	509	HDL cholesterol	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451126/GCST90451126.tsv.gz
VLDL_C	0.103245756032716	1.2932129718461	0.986648990365331	True	GCST90451300	VLDL cholesterol	Cholesterol	5.139240506329115	0.1218	0.0237	336	VLDL cholesterol	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451300/GCST90451300.tsv.gz
HDL_CE	0.166265368836099	1.42358174705754	0.962377478421056	True	GCST90451125	Cholesteryl esters in HDL	Cholesteryl esters	11.08045977011494	0.1928	0.0174	521	Cholesteryl esters in HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451125/GCST90451125.tsv.gz
Total_CE	0.102873728489395	1.22720240153202	0.929302858164759	True	GCST90451288	Total esterified cholesterol	Cholesteryl esters	4.073170731707317	0.1002	0.0246	320	Total esterified cholesterol	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451288/GCST90451288.tsv.gz
VLDL_CE	0.096161120674733	1.27185586841944	0.992190496510832	True	GCST90451299	Cholesteryl esters in VLDL	Cholesteryl esters	4.61344537815126	0.1098	0.0238	326	Cholesteryl esters in VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451299/GCST90451299.tsv.gz
DHA	0.0890185129629961	1.18142867986324	0.82860962468955	True	GCST90451120	Docosahexaenoic acid	Fatty acids	10.26	0.1026	0.01	227	Docosahexaenoic acid	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451120/GCST90451120.tsv.gz
LA	0.091183983339574	1.21851716595145	0.966989533239387	True	GCST90451149	Linoleic acid	Fatty acids	4.928888888888889	0.1109	0.0225	263	Linoleic acid	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451149/GCST90451149.tsv.gz
MUFA	0.12194998210195	1.2197469807083	0.950027784160081	True	GCST90451220	Monounsaturated fatty acids	Fatty acids	7.427230046948357	0.1582	0.0213	349	Monounsaturated fatty acids	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451220/GCST90451220.tsv.gz
Omega_3	0.0983055104702798	1.20890868883218	0.764576136067358	True	GCST90451235	Omega-3 fatty acids	Fatty acids	8.240506329113924	0.1302	0.0158	270	Omega-3 fatty acids	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451235/GCST90451235.tsv.gz
Omega_6	0.0997912017762834	1.2073037723847	0.966431189911045	True	GCST90451238	Omega-6 fatty acids	Fatty acids	5.043478260869565	0.116	0.023	294	Omega-6 fatty acids	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451238/GCST90451238.tsv.gz
PUFA	0.102078147399255	1.2573914563267	0.938361983783162	True	GCST90451244	Polyunsaturated fatty acids	Fatty acids	5.599156118143461	0.1327	0.0237	330	Polyunsaturated fatty acids	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451244/GCST90451244.tsv.gz
SFA	0.0993096149316471	1.18362128700566	0.967907029404757	True	GCST90451248	Saturated fatty acids	Fatty acids	6.956043956043955	0.1266	0.0182	281	Saturated fatty acids	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451248/GCST90451248.tsv.gz
Total_FA	0.10412884649722	1.24118365589481	0.901230714597339	True	GCST90451290	Total fatty acids	Fatty acids	6.530516431924883	0.1391	0.0213	322	Total fatty acids	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451290/GCST90451290.tsv.gz
Albumin	0.0793774065345158	1.16144889656409	0.196576532651803	True	GCST90451110	Albumin	Fluid balance	15.94	0.0797	0.005	295	Albumin	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451110/GCST90451110.tsv.gz
Creatinine	0.130921670497705	1.21254230451138	0.314003120319571	True	GCST90451118	Creatinine	Fluid balance	15.54545454545454	0.1368	0.0088	462	Creatinine	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451118/GCST90451118.tsv.gz
HDL_FC	0.146157934647698	1.3803534250217	0.998316052140372	True	GCST90451127	Free cholesterol in HDL	Free cholesterol	10.24223602484472	0.1649	0.0161	430	Free cholesterol in HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451127/GCST90451127.tsv.gz
VLDL_FC	0.112018040819399	1.30037256215728	1.00263550095747	True	GCST90451301	Free cholesterol in VLDL	Free cholesterol	6.168141592920354	0.1394	0.0226	357	Free cholesterol in VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451301/GCST90451301.tsv.gz
Citrate	0.0788961463708927	1.10986709929139	0.104871814457605	True	GCST90451116	Citrate	Glycolysis related metabolites	4.065573770491802	0.0744	0.0183	215	Citrate	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451116/GCST90451116.tsv.gz
Glucose	0.044389189443597	1.09926111815077	0.324893590454282	True	GCST90451122	Glucose	Glycolysis related metabolites	7.984126984126983	0.0503	0.0063	137	Glucose	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451122/GCST90451122.tsv.gz
Lactate	0.0374523695222852	1.0908082089569	0.560085976296864	True	GCST90451147	Lactate	Glycolysis related metabolites	13.0	0.0377	0.0029	91	Lactate	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451147/GCST90451147.tsv.gz
GlycA	0.137286097887262	1.19796925642461	0.698198503301468	True	GCST90451123	Glycoprotein acetyls	Inflammation	9.491017964071856	0.1585	0.0167	434	Glycoprotein acetyls	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451123/GCST90451123.tsv.gz
Acetate	0.0285524318997965	1.01428918157035	0.396934563646628	True	GCST90451106	Acetate	Ketone bodies	4.555555555555555	0.0287	0.0063	50	Acetate	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451106/GCST90451106.tsv.gz
Acetoacetate	0.0274273223168987	1.00064552333039	0.774578142067722	True	GCST90451107	Acetoacetate	Ketone bodies	5.893617021276595	0.0277	0.0047	35	Acetoacetate	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451107/GCST90451107.tsv.gz
Acetone	0.0326868401099145	1.00247065535015	0.547190386892789	True	GCST90451108	Acetone	Ketone bodies	4.956521739130435	0.0342	0.0069	50	Acetone	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451108/GCST90451108.tsv.gz
bOHbutyrate	0.0395526496927035	1.03734192568632	0.185778351333404	True	GCST90451114	3-Hydroxybutyrate	Ketone bodies	7.622641509433962	0.0404	0.0053	77	3-Hydroxybutyrate	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451114/GCST90451114.tsv.gz
HDL_size	0.166548639720104	1.44880647467862	0.986961332773599	True	GCST90451131	Average diameter for HDL particles	Lipoprotein particle sizes	10.76243093922652	0.1948	0.0181	506	Average diameter for HDL particles	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451131/GCST90451131.tsv.gz
